ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002770.SZ,20201210,1.92,1.94,1.88,1.92,1.91,0.01,0.5236,110278.23,21081.84
002770.SZ,20201209,1.96,1.96,1.91,1.91,1.96,-0.05,-2.551,146461.88,28288.711
002770.SZ,20201208,1.97,1.98,1.95,1.96,1.98,-0.02,-1.0101,108030.7,21202.993
002770.SZ,20201207,2.0,2.01,1.97,1.98,2.01,-0.03,-1.4925,120557.0,23970.49
002770.SZ,20201204,1.98,2.03,1.96,2.01,1.98,0.03,1.5152,157001.2,31312.965
002770.SZ,20201203,1.99,1.99,1.96,1.98,1.99,-0.01,-0.5025,101467.57,20051.102
002770.SZ,20201202,2.01,2.03,1.96,1.99,2.01,-0.02,-0.995,171114.33,34010.247
002770.SZ,20201201,2.01,2.04,1.99,2.01,2.0,0.01,0.5,107800.1,21736.165
002770.SZ,20201130,2.01,2.04,1.99,2.0,2.02,-0.02,-0.9901,142781.28,28687.904
002770.SZ,20201127,1.97,2.03,1.96,2.02,1.97,0.05,2.5381,235749.48,47159.472
002770.SZ,20201126,1.93,2.01,1.9,1.97,1.94,0.03,1.5464,246932.9,48327.183
002770.SZ,20201125,1.93,1.98,1.92,1.94,2.01,-0.07,-3.4826,329186.1,64166.061
002770.SZ,20201124,2.02,2.05,2.0,2.01,2.02,-0.01,-0.495,162256.4,32676.684
002770.SZ,20201123,2.06,2.09,2.01,2.02,2.06,-0.04,-1.9417,267324.9,54525.133
002770.SZ,20201120,2.06,2.07,2.04,2.06,2.07,-0.01,-0.4831,178595.7,36625.084
002770.SZ,20201119,2.06,2.1,2.02,2.07,2.07,0.0,0.0,228972.2,47258.503
002770.SZ,20201118,2.13,2.16,2.05,2.07,2.15,-0.08,-3.7209,458276.1,95963.392
002770.SZ,20201117,2.15,2.22,2.13,2.15,2.18,-0.03,-1.3761,330549.68,71741.54
002770.SZ,20201116,2.08,2.21,2.06,2.18,2.1,0.08,3.8095,535356.55,113433.137
002770.SZ,20201113,2.15,2.2,2.06,2.1,2.12,-0.02,-0.9434,543540.6,115400.719
002770.SZ,20201112,2.0,2.12,2.0,2.12,2.02,0.1,4.9505,474936.82,99207.15
002770.SZ,20201111,1.96,2.07,1.93,2.02,1.97,0.05,2.5381,394419.61,79562.621
002770.SZ,20201110,1.94,2.0,1.92,1.97,1.96,0.01,0.5102,301154.9,59082.05
002770.SZ,20201109,2.03,2.08,1.95,1.96,1.98,-0.02,-1.0101,660896.8,132401.894
002770.SZ,20201106,1.93,1.98,1.89,1.98,1.89,0.09,4.7619,450037.6,87959.876
002770.SZ,20201105,1.81,1.89,1.81,1.89,1.8,0.09,5.0,327243.35,61096.96
002770.SZ,20201104,1.83,1.84,1.8,1.8,1.83,-0.03,-1.6393,154540.5,28043.116
002770.SZ,20201103,1.81,1.85,1.8,1.83,1.84,-0.01,-0.5435,212096.7,38798.661
002770.SZ,20201102,1.89,1.89,1.79,1.84,1.84,0.0,0.0,343609.4,63236.469
002770.SZ,20201030,1.8,1.84,1.8,1.84,1.75,0.09,5.1429,404116.69,74267.199
002770.SZ,20201029,1.75,1.76,1.73,1.75,1.77,-0.02,-1.1299,84804.93,14791.427
002770.SZ,20201028,1.73,1.78,1.71,1.77,1.73,0.04,2.3121,157716.18,27572.346
002770.SZ,20201027,1.73,1.74,1.72,1.73,1.74,-0.01,-0.5747,45449.1,7852.372
002770.SZ,20201026,1.71,1.74,1.71,1.74,1.72,0.02,1.1628,59471.52,10273.925
002770.SZ,20201023,1.73,1.74,1.71,1.72,1.74,-0.02,-1.1494,71413.1,12306.505
002770.SZ,20201022,1.74,1.74,1.73,1.74,1.74,0.0,0.0,49082.78,8505.176
002770.SZ,20201021,1.75,1.76,1.74,1.74,1.76,-0.02,-1.1364,60493.0,10554.462
002770.SZ,20201020,1.74,1.77,1.73,1.76,1.74,0.02,1.1494,60638.5,10617.466
002770.SZ,20201019,1.77,1.77,1.74,1.74,1.76,-0.02,-1.1364,63613.4,11159.682
002770.SZ,20201016,1.76,1.78,1.75,1.76,1.76,0.0,0.0,71089.7,12526.993
002770.SZ,20201015,1.75,1.78,1.74,1.76,1.75,0.01,0.5714,106171.8,18641.627
002770.SZ,20201014,1.78,1.78,1.74,1.75,1.78,-0.03,-1.6854,81867.5,14361.201
002770.SZ,20201013,1.77,1.79,1.77,1.78,1.78,0.0,0.0,78437.5,13922.52
002770.SZ,20201012,1.75,1.79,1.74,1.78,1.75,0.03,1.7143,104931.0,18599.468
002770.SZ,20201009,1.74,1.76,1.73,1.75,1.73,0.02,1.1561,80742.8,14127.807
002770.SZ,20200930,1.73,1.74,1.71,1.73,1.73,0.0,0.0,57298.5,9886.565
002770.SZ,20200929,1.72,1.74,1.71,1.73,1.72,0.01,0.5814,65348.1,11294.93
002770.SZ,20200928,1.75,1.76,1.72,1.72,1.76,-0.04,-2.2727,87093.3,15084.041
002770.SZ,20200925,1.75,1.77,1.74,1.76,1.74,0.02,1.1494,86353.9,15130.993
002770.SZ,20200924,1.8,1.81,1.73,1.74,1.81,-0.07,-3.8674,166838.1,29324.874
002770.SZ,20200923,1.81,1.83,1.8,1.81,1.81,0.0,0.0,67202.9,12166.542
002770.SZ,20200922,1.83,1.83,1.8,1.81,1.84,-0.03,-1.6304,91428.68,16615.042
002770.SZ,20200921,1.83,1.84,1.82,1.84,1.83,0.01,0.5464,82122.4,15030.955
002770.SZ,20200918,1.82,1.84,1.8,1.83,1.83,0.0,0.0,114208.82,20809.837
002770.SZ,20200917,1.82,1.84,1.79,1.83,1.82,0.01,0.5495,115481.99,20947.27
002770.SZ,20200916,1.84,1.84,1.81,1.82,1.85,-0.03,-1.6216,119237.4,21723.434
002770.SZ,20200915,1.86,1.87,1.82,1.85,1.86,-0.01,-0.5376,130966.19,24113.472
002770.SZ,20200914,1.83,1.91,1.82,1.86,1.84,0.02,1.087,180381.9,33709.295
002770.SZ,20200911,1.79,1.84,1.77,1.84,1.83,0.01,0.5464,178561.94,32200.562
002770.SZ,20200910,1.92,1.94,1.82,1.83,1.92,-0.09,-4.6875,314432.17,59350.699
002770.SZ,20200909,1.95,1.96,1.91,1.92,1.96,-0.04,-2.0408,289554.68,55797.329
002770.SZ,20200908,1.94,1.97,1.93,1.96,1.94,0.02,1.0309,230513.9,45025.53
002770.SZ,20200907,2.01,2.02,1.93,1.94,2.0,-0.06,-3.0,380309.2,74605.901
002770.SZ,20200904,1.92,2.02,1.9,2.0,1.93,0.07,3.6269,482796.24,95583.116
002770.SZ,20200903,1.9,1.96,1.89,1.93,1.9,0.03,1.5789,303988.92,58387.792
002770.SZ,20200902,1.91,1.93,1.89,1.9,1.92,-0.02,-1.0417,179896.7,34257.844
002770.SZ,20200901,1.89,1.94,1.87,1.92,1.89,0.03,1.5873,248889.83,47451.359
002770.SZ,20200831,1.91,1.93,1.87,1.89,1.92,-0.03,-1.5625,313876.58,59403.585
002770.SZ,20200828,1.82,1.92,1.81,1.92,1.83,0.09,4.918,493441.57,93439.949
002770.SZ,20200827,1.8,1.84,1.78,1.83,1.83,0.0,0.0,213477.62,38643.808
002770.SZ,20200826,1.87,1.89,1.8,1.83,1.89,-0.06,-3.1746,230675.88,42581.731
002770.SZ,20200825,1.92,1.93,1.87,1.89,1.92,-0.03,-1.5625,266010.9,50381.616
002770.SZ,20200824,1.93,1.94,1.9,1.92,1.94,-0.02,-1.0309,225014.34,43216.59
002770.SZ,20200821,1.9,1.97,1.89,1.94,1.89,0.05,2.6455,302505.51,58668.154
002770.SZ,20200820,1.91,1.93,1.89,1.89,1.92,-0.03,-1.5625,169223.08,32247.7
002770.SZ,20200819,1.94,1.95,1.9,1.92,1.95,-0.03,-1.5385,270582.2,52176.28
002770.SZ,20200818,1.91,1.98,1.9,1.95,1.92,0.03,1.5625,370325.13,72116.522
002770.SZ,20200817,1.9,1.93,1.88,1.92,1.9,0.02,1.0526,243836.86,46459.836
002770.SZ,20200814,1.87,1.92,1.86,1.9,1.87,0.03,1.6043,241852.9,45803.412
002770.SZ,20200813,1.84,1.9,1.83,1.87,1.85,0.02,1.0811,245743.75,46048.91
002770.SZ,20200812,1.85,1.86,1.82,1.85,1.87,-0.02,-1.0695,233620.34,42986.009
002770.SZ,20200811,1.86,1.93,1.82,1.87,1.86,0.01,0.5376,366731.38,68591.308
002770.SZ,20200810,1.86,1.87,1.84,1.86,1.85,0.01,0.5405,204106.8,37875.347
002770.SZ,20200807,1.87,1.88,1.84,1.85,1.88,-0.03,-1.5957,239290.3,44390.961
002770.SZ,20200806,1.88,1.91,1.84,1.88,1.9,-0.02,-1.0526,401347.58,74967.129
002770.SZ,20200805,1.82,1.92,1.81,1.9,1.83,0.07,3.8251,485167.48,91526.259
002770.SZ,20200804,1.8,1.85,1.79,1.83,1.81,0.02,1.105,305126.74,55459.373
002770.SZ,20200803,1.78,1.83,1.77,1.81,1.78,0.03,1.6854,293136.52,52729.287
002770.SZ,20200731,1.78,1.82,1.77,1.78,1.8,-0.02,-1.1111,235275.09,42044.699
002770.SZ,20200730,1.8,1.83,1.78,1.8,1.81,-0.01,-0.5525,255447.28,45963.452
002770.SZ,20200729,1.8,1.86,1.77,1.81,1.82,-0.01,-0.5495,415877.92,75146.044
002770.SZ,20200728,1.73,1.82,1.72,1.82,1.73,0.09,5.2023,502464.63,90103.464
002770.SZ,20200727,1.76,1.78,1.71,1.73,1.78,-0.05,-2.809,256216.51,44503.534
002770.SZ,20200724,1.73,1.84,1.71,1.78,1.75,0.03,1.7143,480385.98,85573.673
002770.SZ,20200723,1.77,1.78,1.71,1.75,1.8,-0.05,-2.7778,309523.38,53941.406
002770.SZ,20200722,1.78,1.81,1.76,1.8,1.77,0.03,1.6949,340261.14,60729.658
002770.SZ,20200721,1.76,1.77,1.71,1.77,1.78,-0.01,-0.5618,326091.9,56927.377
002770.SZ,20200720,1.77,1.8,1.71,1.78,1.8,-0.02,-1.1111,489793.34,85181.868
002770.SZ,20200717,1.89,1.91,1.8,1.8,1.89,-0.09,-4.7619,500048.85,91102.748
002770.SZ,20200716,1.92,1.95,1.88,1.89,1.93,-0.04,-2.0725,335402.54,64407.882
002770.SZ,20200715,1.97,1.98,1.92,1.93,1.97,-0.04,-2.0305,357941.84,69545.101
002770.SZ,20200714,2.0,2.01,1.95,1.97,2.01,-0.04,-1.99,451399.9,89256.449
002770.SZ,20200713,1.96,2.02,1.93,2.01,1.97,0.04,2.0305,633668.56,125245.331
002770.SZ,20200710,1.95,1.99,1.93,1.97,1.96,0.01,0.5102,514325.7,100912.865
002770.SZ,20200709,1.94,1.97,1.92,1.96,1.96,0.0,0.0,754750.94,146709.707
002770.SZ,20200708,1.96,2.01,1.96,1.96,2.06,-0.1,-4.8544,876970.45,172483.86
002770.SZ,20200707,1.92,2.1,1.92,2.06,2.01,0.05,2.4876,1330423.15,268158.581
002770.SZ,20200706,2.01,2.01,2.01,2.01,2.12,-0.11,-5.1887,126438.0,25414.038
002770.SZ,20200703,2.12,2.12,2.12,2.12,2.23,-0.11,-4.9327,25133.0,5328.196
002770.SZ,20200702,2.23,2.23,2.23,2.23,2.35,-0.12,-5.1064,20966.0,4675.418
002770.SZ,20200701,2.35,2.35,2.35,2.35,2.47,-0.12,-4.8583,10007.0,2351.645
002770.SZ,20200630,2.47,2.47,2.47,2.47,2.6,-0.13,-5.0,17704.0,4372.888
002770.SZ,20200629,2.6,2.6,2.6,2.6,2.74,-0.14,-5.1095,12775.0,3321.5
002770.SZ,20200623,2.77,2.83,2.74,2.74,2.8,-0.06,-2.1429,344161.9,95308.392
002770.SZ,20200622,2.87,2.87,2.78,2.8,2.87,-0.07,-2.439,370674.7,104090.34
002770.SZ,20200619,2.94,2.95,2.85,2.87,2.94,-0.07,-2.381,433077.87,124895.554
002770.SZ,20200618,2.91,3.02,2.89,2.94,2.99,-0.05,-1.6722,599484.81,176566.503
002770.SZ,20200617,2.8,3.08,2.72,2.99,2.81,0.18,6.4057,1073782.28,310698.392
002770.SZ,20200616,2.82,2.84,2.78,2.81,2.82,-0.01,-0.3546,311262.3,87061.957
002770.SZ,20200615,2.77,2.87,2.77,2.82,2.78,0.04,1.4388,383321.9,108219.433
002770.SZ,20200612,2.78,2.83,2.72,2.78,2.83,-0.05,-1.7668,327857.9,91128.904
002770.SZ,20200611,2.89,2.89,2.81,2.83,2.9,-0.07,-2.4138,406948.2,115740.105
002770.SZ,20200610,2.93,2.99,2.88,2.9,2.96,-0.06,-2.027,517033.22,151030.552
002770.SZ,20200609,2.84,2.99,2.78,2.96,2.85,0.11,3.8596,753326.32,218458.078
002770.SZ,20200608,2.92,2.93,2.84,2.85,2.89,-0.04,-1.3841,410934.7,117844.472
002770.SZ,20200605,2.96,2.99,2.86,2.89,3.02,-0.13,-4.3046,765380.1,222448.268
002770.SZ,20200604,3.03,3.13,2.96,3.02,3.03,-0.01,-0.33,797928.57,243000.558
002770.SZ,20200603,3.1,3.14,3.01,3.03,3.15,-0.12,-3.8095,945891.87,288598.881
002770.SZ,20200602,3.13,3.24,3.07,3.15,3.23,-0.08,-2.4768,1398070.52,436801.17
